FID,County,Route_Numb,,Stating Date,Ending Date,Latitude,Longitude
0,Barbour,SR-30,,2016,2016,31.866247,-85.432717
1,Bibb,SR-219,,,,32.87811,-87.10219
2,Bibb,US-82,,,,32.970906,-87.175022
3,Chilton,SR-22,,2020,2021,32.830977,-86.711182
4,Clarke,SR-5,,2013,2021,31.945137,-87.735932
5,Clarke,SR-69,,2010,2021,31.658603,-88.033899
6,Clarke,US-43,,2014,2019,31.95097,-87.74001
7,Dekalb,SR-117,,2021,2021,34.57028,-85.5999
8,Etowah,US-431,,2019,2019,34.08062,-86.116247
9,FRANKLIN,SR-187,,2020,2021,34.35024,-87.904297
10,FRANKLIN,SR-24/SR-43,,2000,2021,34.486545,-87.734613
11,Jackson,SR-146,,2005,2021,34.852635,-86.163697
12,Jackson,SR-35,,2006,2006,34.596866,-85.996392
13,Jefferson,US-280,,2015,2021,33.462722,-86.756448
14,Limestone,I-65,,2018,2021,34.644599,-86.90638
15,Lowndes,I-65,,2010,2015,32.003581,-86.523023
16,MADISON,US-431 (Governors Dr),,2006,2021,34.714477,-86.545817
17,MADISON,US-431/US-231 (Holmes Ave),,2006,2021,34.731101,-86.596302
18,Marion,CORRIDOR X,,2008,2020,34.20506,-88.169318
19,Marion,US-43,,2009,2021,34.080317,-87.976327
20,MARION,US-43 (Bear Creek),,2009,2021,34.29364,-87.805732
21,MARION,US-43 (N. Fork Creek),,2009,2021,34.238325,-87.897628
22,Marshall,SR-69,,2019,2020,34.350046,-86.309468
23,Monroe,SR-41,,2016,2021,31.552344,-87.336817
24,Morgan,I-65,,2010,2015,34.471035,-86.898092
25,Morgan,SR-24,,2006,2020,34.574041,-87.084189
26,Morgan,SR-67,,2011 and 2019,2021,34.360516,-86.629776
27,Morgan,US-231,,2019,2020,34.511446,-86.597974
28,Russell,US-431,,2006,2021,32.14236,-85.165491
29,Russell,US-431,,2006,2021,32.181564,-85.178706
